Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,mlbID
CJ Abrams,21,562,Maj-NL,San Diego,43,134,121,15,28,5,0,2,11,4,0,25,5,2,2,4,1,2,0.231,0.28,0.322,0.603,682928
Jos\xc3\xa9 Abreu,35,560,Maj-AL,Chicago,94,412,359,53,109,26,0,11,47,46,1,62,5,0,2,7,0,0,0.304,0.388,0.468,0.856,547989
Ronald Acuna Jr.,24,560,Maj-NL,Atlanta,62,284,242,39,64,11,0,8,23,30,1,71,9,0,3,2,20,6,0.265,0.363,0.409,0.772,660670
Willy Adames,26,560,Maj-NL,Milwaukee,74,322,290,52,64,14,0,20,53,30,0,87,1,0,1,8,3,1,0.221,0.295,0.476,0.771,642715
Riley Adams,26,586,Maj-NL,Washington,27,88,78,8,15,1,0,3,5,9,0,26,1,0,0,1,0,1,0.192,0.284,0.321,0.605,656180
Jo Adell,23,560,Maj-AL,Los Angeles,32,114,109,6,26,5,0,3,12,4,0,41,1,0,0,4,2,1,0.239,0.272,0.367,0.639,666176
Ehire Adrianza,32,560,Maj-NL,Washington,27,83,74,4,14,2,0,0,7,7,0,21,1,0,1,1,1,0,0.189,0.265,0.216,0.481,501303
Jes\xc3\xbas Aguilar,32,560,Maj-NL,Miami,87,363,331,32,83,14,0,11,39,21,0,84,3,0,4,8,1,0,0.251,0.298,0.393,0.691,542583
Nick Ahmed,32,630,Maj-NL,Arizona,17,54,52,7,12,2,0,3,7,2,0,15,0,0,0,2,0,1,0.231,0.259,0.442,0.702,605113
Hanser Alberto,29,561,Maj-NL,Los Angeles,44,93,92,10,22,5,1,2,9,1,0,17,0,0,0,3,0,0,0.239,0.247,0.38,0.628,593643
Ozzie Albies,25,601,Maj-NL,Atlanta,62,263,242,34,59,15,0,8,33,15,0,46,2,0,4,0,3,5,0.244,0.289,0.405,0.694,645277
Sergio Alc\xc3\xa1ntara,25,560,Maj-NL,"Arizona,San Diego",56,123,114,11,21,3,1,2,13,5,0,32,0,2,2,3,0,2,0.184,0.215,0.281,0.496,642727
Jorge Alfaro,29,560,Maj-NL,San Diego,57,202,190,21,52,12,0,6,27,9,0,68,1,0,2,3,1,0,0.274,0.307,0.432,0.739,595751
Anthony Alford,27,652,Maj-NL,Pittsburgh,2,4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0.25,0.25,0.25,0.5,546990
Austin Allen,28,645,Maj-AL,Oakland,5,16,14,1,1,0,0,0,0,1,0,9,1,0,0,1,0,0,0.071,0.188,0.071,0.259,664119
Greg Allen,29,560,Maj-NL,Pittsburgh,2,9,9,1,1,0,0,0,0,0,0,4,0,0,0,1,0,0,0.111,0.111,0.111,0.222,656185
Nick Allen,23,560,Maj-AL,Oakland,39,120,110,12,22,4,0,1,6,9,0,23,1,0,0,2,1,2,0.2,0.267,0.264,0.53,669397
Albert Almora,28,574,Maj-NL,Cincinnati,48,175,167,18,39,6,1,5,26,5,0,36,1,1,1,6,2,2,0.234,0.259,0.371,0.63,546991
