Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,mlbID
CJ Abrams,21,569,Maj-NL,San Diego,41,128,116,15,27,5,0,2,11,4,0,25,4,2,2,4,1,2,0.233,0.278,0.328,0.605,682928
Jos\xc3\xa9 Abreu,35,569,Maj-AL,Chicago,88,386,338,51,102,24,0,11,45,42,1,58,4,0,2,7,0,0,0.302,0.383,0.47,0.854,547989
Ronald Acuna Jr.,24,569,Maj-NL,Atlanta,58,265,226,38,61,10,0,8,22,28,1,66,8,0,3,2,20,6,0.27,0.366,0.42,0.786,660670
Willy Adames,26,569,Maj-NL,Milwaukee,69,298,269,47,57,14,0,18,50,28,0,82,1,0,0,8,3,1,0.212,0.289,0.465,0.753,642715
Riley Adams,26,586,Maj-NL,Washington,27,88,78,8,15,1,0,3,5,9,0,26,1,0,0,1,0,1,0.192,0.284,0.321,0.605,656180
Jo Adell,23,569,Maj-AL,Los Angeles,28,100,96,5,24,5,0,3,11,3,0,34,1,0,0,4,2,1,0.25,0.28,0.396,0.676,666176
Ehire Adrianza,32,569,Maj-NL,Washington,24,73,65,3,12,2,0,0,3,7,0,19,0,0,1,1,1,0,0.185,0.26,0.215,0.476,501303
Jes\xc3\xbas Aguilar,32,569,Maj-NL,Miami,81,341,310,32,77,14,0,11,37,20,0,77,3,0,4,8,1,0,0.248,0.297,0.4,0.697,542583
Nick Ahmed,32,630,Maj-NL,Arizona,17,54,52,7,12,2,0,3,7,2,0,15,0,0,0,2,0,1,0.231,0.259,0.442,0.702,605113
Hanser Alberto,29,569,Maj-NL,Los Angeles,41,89,88,9,20,4,1,2,8,1,0,16,0,0,0,3,0,0,0.227,0.236,0.364,0.6,593643
Ozzie Albies,25,601,Maj-NL,Atlanta,62,263,242,34,59,15,0,8,33,15,0,46,2,0,4,0,3,5,0.244,0.289,0.405,0.694,645277
Sergio Alc\xc3\xa1ntara,25,569,Maj-NL,"Arizona,San Diego",53,111,104,10,20,3,1,2,13,3,0,29,0,2,2,3,0,2,0.192,0.211,0.298,0.509,642727
Jorge Alfaro,29,570,Maj-NL,San Diego,54,194,182,21,50,11,0,6,26,9,0,67,1,0,2,3,1,0,0.275,0.309,0.434,0.743,595751
Anthony Alford,27,652,Maj-NL,Pittsburgh,2,4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0.25,0.25,0.25,0.5,546990
Austin Allen,28,645,Maj-AL,Oakland,5,16,14,1,1,0,0,0,0,1,0,9,1,0,0,1,0,0,0.071,0.188,0.071,0.259,664119
Nick Allen,23,569,Maj-AL,Oakland,32,104,94,11,18,4,0,1,5,9,0,20,1,0,0,1,1,2,0.192,0.269,0.266,0.535,669397
Albert Almora,28,574,Maj-NL,Cincinnati,48,175,167,18,39,6,1,5,26,5,0,36,1,1,1,6,2,2,0.234,0.259,0.371,0.63,546991
Pete Alonso,27,570,Maj-NL,New York,89,381,332,50,89,14,0,24,74,34,7,79,8,0,7,9,2,1,0.268,0.344,0.527,0.871,624413
Jos\xc3\xa9 Altuve,32,570,Maj-AL,Houston,72,314,271,48,75,17,0,17,33,36,0,50,6,0,1,7,8,1,0.277,0.373,0.528,0.9,514888
Jos\xc3\xa9 Alvarado,27,597,Maj-NL,Philadelphia,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,621237
Eddy Alvarez,32,585,Maj-NL,Los Angeles,14,27,25,1,4,0,0,0,3,0,0,9,0,1,1,1,1,0,0.16,0.154,0.16,0.314,657193
Yordan \xc3\x81lvarez,25,575,Maj-AL,Houston,75,316,268,57,82,11,2,26,60,43,4,57,3,0,2,7,0,1,0.306,0.405,0.653,1.058,670541
Brian Anderson,29,569,Maj-NL,Miami,49,186,161,25,42,11,1,3,12,22,1,54,3,0,0,2,1,0,0.261,0.36,0.398,0.758,605119
