Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,mlbID
CJ Abrams,21,503,Maj-NL,"San Diego,Washington",76,250,233,27,54,9,2,2,19,5,0,45,8,2,2,5,3,4,0.232,0.27,0.313,0.584,682928
Jos\xc3\xa9 Abreu,35,504,Maj-AL,Chicago,145,630,557,82,172,35,0,15,71,60,2,104,9,0,4,16,0,0,0.309,0.383,0.452,0.835,547989
Ronald Acuna Jr.,24,503,Maj-NL,Atlanta,108,486,424,65,115,24,0,13,45,49,2,114,10,0,3,8,28,11,0.271,0.358,0.42,0.778,660670
Willy Adames,26,503,Maj-NL,Milwaukee,125,553,501,79,119,28,0,30,92,47,2,146,1,0,4,11,7,2,0.238,0.302,0.473,0.775,642715
Riley Adams,26,503,Maj-NL,Washington,39,127,116,12,22,4,0,4,8,10,0,35,1,0,0,2,0,1,0.19,0.26,0.328,0.587,656180
Jo Adell,23,503,Maj-AL,Los Angeles,76,245,230,19,50,10,1,7,21,10,0,91,3,0,1,6,4,2,0.217,0.258,0.361,0.619,666176
Ehire Adrianza,32,509,Maj-NL,"Atlanta,Washington",36,105,92,8,16,3,0,0,7,11,0,24,1,0,1,2,1,0,0.174,0.267,0.207,0.473,501303
Jes\xc3\xbas Aguilar,32,503,"Maj-AL,Maj-NL","Baltimore,Miami",123,489,447,38,103,18,0,16,51,27,1,115,4,0,5,8,1,0,0.23,0.277,0.378,0.656,542583
Ryan Aguilar,27,517,Maj-AL,Los Angeles,7,26,22,2,3,1,0,0,2,2,0,14,1,0,1,0,0,0,0.136,0.231,0.182,0.413,666922
Nick Ahmed,32,630,Maj-NL,Arizona,17,54,52,7,12,2,0,3,7,2,0,15,0,0,0,2,0,1,0.231,0.259,0.442,0.702,605113
Hanser Alberto,29,508,Maj-NL,Los Angeles,65,145,143,12,33,8,2,2,14,2,0,25,0,0,0,6,0,1,0.231,0.241,0.357,0.598,593643
Ozzie Albies,25,505,Maj-NL,Atlanta,64,269,247,36,61,16,0,8,35,16,0,47,2,0,4,0,3,5,0.247,0.294,0.409,0.703,645277
Sergio Alc\xc3\xa1ntara,25,503,Maj-NL,"Arizona,San Diego",81,180,165,22,35,6,1,5,22,9,0,45,1,2,3,4,0,2,0.212,0.253,0.352,0.604,642727
Jorge Alfaro,29,506,Maj-NL,San Diego,77,268,251,25,63,14,0,7,39,10,0,96,4,0,3,5,1,0,0.251,0.287,0.39,0.678,595751
Anthony Alford,27,652,Maj-NL,Pittsburgh,2,4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0.25,0.25,0.25,0.5,546990
Austin Allen,28,645,Maj-AL,Oakland,5,16,14,1,1,0,0,0,0,1,0,9,1,0,0,1,0,0,0.071,0.188,0.071,0.259,664119
Greg Allen,29,504,Maj-NL,Pittsburgh,43,125,110,16,22,4,0,2,7,10,0,38,2,3,0,2,8,2,0.2,0.279,0.291,0.57,656185
Nick Allen,23,504,Maj-AL,Oakland,86,276,255,27,53,11,0,3,13,15,0,59,1,5,0,5,2,2,0.208,0.255,0.286,0.541,669397
Abraham Almonte,33,504,Maj-AL,Boston,5,8,7,4,3,1,0,0,1,1,0,2,0,0,0,1,0,0,0.429,0.5,0.571,1.071,501659
Albert Almora,28,516,Maj-NL,Cincinnati,64,235,215,26,48,10,1,5,29,17,0,46,1,1,1,9,3,2,0.223,0.282,0.349,0.631,546991
Pete Alonso,27,503,Maj-NL,New York,148,635,554,83,148,25,0,36,118,60,15,121,12,0,9,16,5,1,0.267,0.347,0.507,0.854,624413
Jos\xc3\xa9 Altuve,32,503,Maj-AL,Houston,129,560,490,89,143,33,0,25,53,60,2,84,9,0,1,12,18,1,0.292,0.379,0.512,0.891,514888
Jos\xc3\xa9 Alvarado,27,597,Maj-NL,Philadelphia,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,621237
Eddy Alvarez,32,585,Maj-NL,Los Angeles,14,27,25,1,4,0,0,0,3,0,0,9,0,1,1,1,1,0,0.16,0.154,0.16,0.314,657193
Yordan \xc3\x81lvarez,25,503,Maj-AL,Houston,123,515,431,91,131,24,2,37,94,72,9,95,6,0,6,12,1,1,0.304,0.406,0.627,1.032,670541
Brian Anderson,29,503,Maj-NL,Miami,88,343,301,37,68,13,1,8,27,35,2,90,6,0,1,6,1,0,0.226,0.318,0.356,0.673,605119
Tim Anderson,29,547,Maj-AL,Chicago,79,351,332,50,100,13,0,6,25,14,1,55,5,0,0,10,13,0,0.301,0.339,0.395,0.734,641313
Tyler Anderson,32,548,Maj-NL,Los Angeles,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,542881
Elvis Andrus,33,504,Maj-AL,"Chicago,Oakland",134,512,472,60,121,30,0,14,51,38,0,80,2,0,0,11,13,4,0.256,0.315,0.409,0.723,462101
Miguel And\xc3\xbajar,27,505,Maj-AL,New York,27,100,96,9,22,2,0,1,8,3,0,22,0,0,1,0,4,0,0.229,0.25,0.281,0.531,609280
Aristides Aquino,28,504,Maj-NL,Cincinnati,71,242,229,22,47,12,0,9,29,13,0,91,0,0,0,1,2,3,0.205,0.248,0.376,0.623,606157
Jonathan Aranda,24,503,Maj-AL,Tampa Bay,18,48,43,6,13,4,0,1,5,4,0,8,1,0,0,0,0,0,0.302,0.375,0.465,0.84,666018
Jonathan Ara\xc3\xbaz,23,559,Maj-AL,"Baltimore,Boston",15,41,38,3,5,0,0,1,5,1,0,12,0,1,1,0,0,0,0.132,0.15,0.211,0.361,660620
Orlando Arcia,27,544,Maj-NL,Atlanta,56,196,173,20,42,7,0,7,26,19,0,42,2,0,2,7,0,0,0.243,0.321,0.405,0.726,606115
Nolan Arenado,31,504,Maj-NL,St. Louis,137,578,521,70,154,40,1,29,98,47,3,68,6,0,4,15,5,3,0.296,0.358,0.543,0.901,571448
Gabriel Arias,22,580,Maj-AL,Cleveland,6,20,19,2,2,0,0,0,1,1,0,8,0,0,0,0,0,0,0.105,0.15,0.105,0.255,672356
Randy Arozarena,27,503,Maj-AL,Tampa Bay,140,590,537,66,142,37,2,19,79,41,2,138,11,0,1,17,30,11,0.264,0.329,0.447,0.776,668227
Luis Arr\xc3\xa1ez,25,503,Maj-AL,Minnesota,133,558,505,81,160,29,1,8,48,47,2,41,3,0,3,5,4,4,0.317,0.376,0.426,0.802,650333
