Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,mlbID
CJ Abrams,22,228,Maj-NL,Washington,66,243,228,27,53,12,2,7,32,9,0,54,5,1,0,5,7,2,0.233,0.277,0.395,0.672,682928
Jos\xc3\xa9 Abreu,36,229,Maj-AL,Houston,72,301,276,21,62,11,0,4,33,19,1,74,3,0,3,8,0,1,0.225,0.279,0.308,0.587,547989
Ronald Acuna Jr.,25,229,Maj-NL,Atlanta,73,335,294,63,96,21,1,15,46,37,2,44,2,0,2,7,30,6,0.327,0.403,0.558,0.961,660670
Willy Adames,27,228,Maj-NL,Milwaukee,64,269,236,32,48,7,0,10,29,27,0,71,1,0,3,6,4,2,0.203,0.285,0.36,0.645,642715
Riley Adams,27,229,Maj-NL,Washington,15,59,52,3,14,3,2,2,7,6,0,21,0,1,0,2,0,0,0.269,0.345,0.519,0.864,656180
Jo Adell,24,241,Maj-AL,Los Angeles,1,4,3,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0.333,0.5,1.333,1.833,666176
Ehire Adrianza,33,279,Maj-NL,Atlanta,5,11,10,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0.0,0.091,0.0,0.091,501303
Jes\xc3\xbas Aguilar,33,253,Maj-AL,Oakland,36,115,104,8,23,2,0,5,9,8,2,31,1,0,1,3,0,0,0.221,0.281,0.385,0.665,542583
Nick Ahmed,33,231,Maj-NL,Arizona,39,117,110,10,26,6,0,2,12,7,0,25,0,0,0,0,4,0,0.236,0.282,0.346,0.628,605113
Hanser Alberto,30,249,Maj-AL,Chicago,30,90,82,11,18,5,0,3,16,4,0,13,1,2,1,1,0,0,0.22,0.261,0.39,0.652,593643
Ozzie Albies,26,229,Maj-NL,Atlanta,73,306,280,36,75,13,1,17,53,20,2,44,3,0,3,5,3,0,0.268,0.32,0.504,0.824,645277
Jorge Alfaro,30,228,Maj-NL,Colorado,6,24,23,1,3,2,0,1,4,0,0,10,1,0,0,1,0,0,0.13,0.167,0.348,0.515,595751
Greg Allen,30,247,Maj-AL,New York,10,17,14,5,3,0,1,1,1,1,0,7,1,1,0,0,1,0,0.214,0.313,0.571,0.884,656185
Nick Allen,24,244,Maj-AL,Oakland,38,111,102,9,20,1,0,1,3,6,0,18,0,3,0,2,0,0,0.196,0.241,0.235,0.476,669397
Pete Alonso,28,228,Maj-NL,New York,66,279,245,43,55,5,1,23,51,29,0,59,5,0,0,7,2,0,0.225,0.319,0.535,0.854,624413
Jos\xc3\xa9 Altuve,33,228,Maj-AL,Houston,24,105,90,16,23,7,0,3,10,13,0,19,1,0,1,3,4,1,0.256,0.352,0.433,0.786,514888
Jake Alu,26,262,Maj-NL,Washington,4,14,13,0,3,0,0,0,0,1,0,3,0,0,0,0,1,0,0.231,0.286,0.231,0.517,666906
Francisco \xc3\x81lvarez,21,228,Maj-NL,New York,51,175,163,23,38,7,0,12,25,10,0,43,2,0,0,6,0,0,0.233,0.286,0.497,0.783,682626
Yordan \xc3\x81lvarez,26,241,Maj-AL,Houston,57,242,202,41,56,12,0,17,55,32,2,55,6,0,2,5,0,0,0.277,0.388,0.589,0.978,670541
